,Title,Sell price,Bids
323,LUNDBY Säng i Originalförpackning No:7269 Dockskåp Dockskåpsmöbler,180,13
324,LUNDBY Piano med pall i Originalförpackning No:5461 Dockskåp Dockskåpsmöbler,70,16
325,Dockskåp inredning badrum blåvitt Lundby,35,17
326,LUNDBY Bokhylla med Belysning i Originalförpackning No:5388 Dockskåpsmöbler,66,10
327,LUNDBY Fåtölj i Originalförpackning No:5224 Dockskåpsmöbler,65,9
328,Taklampor till Lundby dockskåp,80,15
329,LUNDBY Bord i Originalförpackning No:4113 Dockskåpsmöbler,76,14
330,Lundby bokhylla,579,19
331,LUNDBY Stol i Originalförpackning No:4404 Dockskåpsmöbler,20,1
332,LUNDBY Frukostbricka i Originalförpackning No:6630 Dockskåpsmöbler,452,35
333,Soffgrupp Royal i Gustaviansk stil 1970 tal Lundby,85,3
334,Rött matbordset med bord och stolar 70 tal ? blomma Lundby,80,2
335,Stockholm modernt kök i trä med köksö och barpall Lundby,220,12
336,TV rum bäddsoffa TV bänk Lundby,200,16
337,LUNDBY Hundfamilj i Originalförpackning No:1290 Dockskåpsmöbler,31,5
338,Gröna badrumsdelar handfat och toalettstol Lundby,70,6
339,Toalettbord 60 tal Lundby,121,9
340,LUNDBY Bord i Originalförpackning No:3203 Dockskåpsmöbler,26,3
341,TV med kattbild 60 tal Lundby,50,1
342,Blåvitt 60 tals kök Lundby,80,2
343,Sovrum med spjälsäng Lundby,100,6
344,Lundby hund med valp,40,1
345,Kaninbur & 2 st kaniner Lundby,67,3
346,LUNDBY Bord i Originalförpackning No:4370 Dockskåpsmöbler,134,5
347,Vitt sängset i trä dubbelsäng & 2 st sängbord Lundby,160,4
348,Furukök och 2 st stolar Lundby,60,1
349,Rosa soffgrupp Lundby,55,2
350,Modernt vitt badrum Lundby,210,14
351,Golvur och soffbord 50 60 tal Lundby,100,1
352,Matbord & 3 st stolar i trä / teak 60 tal Lundby,142,4
353,Dockskåps dockor Lundby,130,7
354,Lundby dockskåp 1974 design Per Börnfelt Retro Samlare,140,5
355,Lundby extravåning till dockskåp 1974 design Per Börnfelt Retro Samlare,220,13
356,*** Lundby eldstad/öppen spis med tillbehör ***,41,20
357,LUNDBY Service i Originalförpackning No:6604 Dockskåpsmöbler,210,25
358,Sandlåda och dragvagn Lundby,40,1
359,LUNDBY Karaff med 4 glas i Originalförpackning No:6624 Dockskåpsmöbler,105,8
360,Retro Lundby dockskåpsmöbler dockskåp,250,1
361,LUNDBY Tisningsställ i Originalförpackning No:6855 Dockskåpsmöbler,101,17
362,"*** Lundby dockskåp, gulligt vitt pelarbord ***",23,8
363,Tillbehör till Dockskåp Lundby 70-tal Kök Hund Kaffebryggare Krukväxter m m ....,80,8
364,Dockskåpsmöbler matta Lundby,23,3
365,Retro kandelaber med ljus till dockskåp Lundby,325,27
